mean_SFR mean_SFR_spi mean_SFR_ell mean_SSFR mean_SSFR_spi mean_SSFR_ell mean_e mean_e_spi mean_e_ell std_e std_e_spi std_e_ell split_fracs
2.251004e-01 3.886116e-01 8.917491e-03 1.766638e-10 3.079147e-10 3.133324e-12 2.068241e-01 2.007607e-01 2.148407e-01 2.042578e-01 1.853091e-01 2.266452e-01 7.563559e-01
2.089052e-01 4.036948e-01 8.165349e-03 1.319788e-10 2.580074e-10 2.100440e-12 1.810832e-01 1.736261e-01 1.887680e-01 1.863536e-01 1.467505e-01 2.195592e-01 9.703588e-01
4.030402e-01 4.649259e-01 1.522306e-02 3.833875e-10 4.432903e-10 7.996522e-12 2.909434e-01 2.892201e-01 3.017427e-01 2.571457e-01 2.591764e-01 2.437583e-01 1.595745e-01
1.919334e-01 2.907177e-01 1.332344e-02 1.465692e-10 2.255827e-10 3.706465e-12 2.632636e-01 2.659977e-01 2.583200e-01 2.021722e-01 2.048899e-01 1.970669e-01 5.530726e-01
5.927008e-01 8.993088e-01 1.191449e-02 2.702403e-10 4.118716e-10 1.958082e-12 2.172097e-01 2.151799e-01 2.210547e-01 2.157729e-01 1.855164e-01 2.636936e-01 5.279188e-01
4.592612e-01 6.145570e-01 2.760219e-02 3.284798e-10 4.457346e-10 2.559245e-12 2.144097e-01 2.017761e-01 2.495259e-01 2.221646e-01 1.809185e-01 3.064191e-01 3.597651e-01
6.587238e-01 9.214005e-01 1.694577e-02 4.504902e-10 6.341753e-10 1.706650e-12 2.193357e-01 2.229469e-01 2.105129e-01 2.044373e-01 1.906858e-01 2.344362e-01 4.092954e-01
7.570286e-01 8.732840e-01 2.423701e-01 5.325431e-10 6.517246e-10 4.930905e-12 2.799487e-01 2.714917e-01 3.173876e-01 2.946686e-01 2.857632e-01 3.286247e-01 2.258883e-01
6.144588e-01 7.426301e-01 7.561590e-02 4.551774e-10 5.622547e-10 5.015527e-12 2.692690e-01 2.748185e-01 2.459386e-01 2.241762e-01 2.200485e-01 2.393532e-01 2.378641e-01
2.369686e-01 3.424461e-01 2.311069e-02 1.950258e-10 2.901887e-10 2.080769e-12 2.577846e-01 2.381265e-01 2.976418e-01 2.407693e-01 2.075411e-01 2.929177e-01 4.932127e-01
1.176026e-01 4.769648e-01 3.410155e-03 4.924229e-11 1.993188e-10 1.553347e-12 1.653568e-01 1.557081e-01 1.684228e-01 1.762101e-01 1.352268e-01 1.872615e-01 3.146988e+00
2.891066e-01 5.557398e-01 2.658600e-02 1.301335e-10 2.603665e-10 1.909234e-12 1.929243e-01 1.853810e-01 2.003512e-01 2.117830e-01 1.616345e-01 2.513531e-01 1.015666e+00
2.211694e-01 3.844799e-01 1.284400e-02 1.283041e-10 2.264846e-10 3.061041e-12 1.868725e-01 1.794673e-01 1.963189e-01 1.872601e-01 1.558956e-01 2.205374e-01 7.839196e-01
3.129329e-01 4.663499e-01 8.349667e-03 1.855550e-10 2.777515e-10 2.514457e-12 1.912683e-01 1.777192e-01 2.181677e-01 1.901317e-01 1.545544e-01 2.437377e-01 5.036946e-01
4.041025e-01 6.177031e-01 2.068929e-02 2.599430e-10 4.036934e-10 1.910981e-12 2.108100e-01 2.042925e-01 2.225088e-01 2.040632e-01 1.741701e-01 2.484430e-01 5.571031e-01
